name,id,classification,mass,year,latitude,longitude
Mangwendi,15405,LL6,22300.0,1934.0,-17.65,31.6
Marion (Iowa),15424,L6,28400.0,1847.0,41.9,-91.6
Marjalahti,15426,"Pallasite, PMG",45000.0,1902.0,61.5,30.5
Mauerkirchen,15446,L6,19000.0,1768.0,48.18333,13.13333
Mbale,15455,L5/6,150000.0,1992.0,1.06667,34.16667
Meester-Cornelis,15470,H5,24750.0,1915.0,-6.23333,106.88333
Menow,15485,H4,10500.0,1862.0,53.18333,13.15
Merua,15492,H5,71400.0,1920.0,25.48333,81.98333
Mezö-Madaras,16628,L3.7,22700.0,1852.0,46.5,25.73333
Milena,16640,L6,10000.0,1842.0,46.18333,16.1
Millbillillie,16643,Eucrite-mmict,330000.0,1960.0,-26.45,120.36667
Miller (Arkansas),16645,H5,16700.0,1930.0,35.4,-92.05
Mocs,16709,L5-6,300000.0,1882.0,46.8,24.03333
Modoc (1905),16711,L6,35000.0,1905.0,38.5,-101.1
Molina,16715,H5,144000.0,1858.0,38.11667,-1.16667
Montferré,16727,H5,149000.0,1923.0,43.39056,1.9625
Mount Browne,16766,H6,11300.0,1902.0,-29.8,141.7
Mount Tazerzait,16804,L5,110000.0,1991.0,18.7,4.8
Mount Vaisi,16805,Stone-uncl,17000.0,1637.0,44.08333,6.86667
Murchison,16875,CM2,100000.0,1969.0,-36.61667,145.2
Murray,16882,CM2,12600.0,1950.0,36.6,-88.1
Nakhla,16898,Martian (nakhlite),10000.0,1911.0,31.31667,30.35
Nakhon Pathom,16899,L6,23200.0,1923.0,13.73333,100.08333
Nan Yang Pao,16903,L6,52900.0,1917.0,35.66667,103.5
Naoki,16908,H6,17000.0,1928.0,19.25,77.0
Nerft,16945,L6,10250.0,1864.0,56.5,21.5
New Concord,16953,L6,230000.0,1860.0,40.0,-81.76667
New Halfa,16954,L4,12000.0,1994.0,15.36667,35.68333
New Orleans,16960,H5,19256.0,2003.0,29.94718,-90.10976
N'Goureyma,16968,"Iron, ungrouped",37500.0,1900.0,13.85,-4.38333
Ningbo,16980,"Iron, IVA",14250.0,1975.0,29.86667,121.48333
N'Kandhla,16983,"Iron, IID",17200.0,1912.0,-28.56667,30.7
Norton County,17922,Aubrite,1100000.0,1948.0,39.68333,-99.86667
Nuevo Mercurio,17938,H5,50000.0,1978.0,24.3,-102.13333
Ochansk,17979,H4,500000.0,1887.0,57.78333,55.26667
Ogi,17994,H6,14360.0,1741.0,33.28333,130.2
Ohaba,17995,H5,16250.0,1857.0,46.06667,23.58333
Okniny,18002,LL6,12000.0,1834.0,50.83333,25.5
Oldenburg (1930),18009,L6,16570.0,1930.0,52.95,8.16667
Olivenza,18013,LL5,150000.0,1924.0,38.71667,-7.06667
Olmedilla de Alarcón,18015,H5,40000.0,1929.0,39.56667,-2.1
Omolon,18019,"Pallasite, PMG",250000.0,1981.0,64.02,161.80833
Orgueil,18026,CI1,14000.0,1864.0,43.88333,1.38333
Oum Dreyga,31282,H3-5,17000.0,2003.0,24.3,-13.1
Ourique,18052,H4,20000.0,1998.0,37.60833,-8.28
Palinshih,18077,Iron,18000.0,1914.0,43.48333,118.61667
Pampanga,18093,L5,10500.0,1859.0,15.08333,120.7
Paragould,18101,LL5,408000.0,1930.0,36.06667,-90.5
